window_start,window_end,threshold,mean_error,std_error,anomalies,fault_rate
0,1000,266.869861,162.616631,34.751077,0,0.000
1000,2000,306.631791,307.994321,52.561730,488,0.000
2000,3000,391.998321,515.896105,72.522779,979,0.000
3000,4000,526.893762,788.873001,92.534175,1000,0.000
4000,5000,712.832115,1122.119035,111.488831,1000,0.000
5000,6000,952.703751,1519.114369,131.025308,1000,0.000
6000,7000,1247.401733,1981.632118,148.187181,1000,0.000
7000,8000,1601.931519,2505.782274,171.422795,1000,0.000
8000,9000,2012.456396,3091.769507,187.595466,1000,0.000
9000,10000,2483.929898,3741.873044,209.316955,1000,0.000
10000,11000,3015.178936,4448.809473,230.455205,1000,0.000
11000,12000,3604.304910,5226.490045,244.772919,1000,0.000
12000,13000,4257.424811,6066.286911,267.872502,1000,0.000
13000,14000,4972.077029,6972.433195,286.084236,1000,0.000
14000,15000,5748.156279,7936.594101,305.293060,1000,0.000
15000,16000,6584.298156,8964.030080,321.611861,1000,0.880
16000,17000,7484.395990,10059.390870,341.798819,1000,1.000
17000,18000,8447.680558,11212.054099,362.921577,1000,1.000
18000,19000,9473.231775,12438.360126,379.025506,1000,1.000
19000,20000,10565.606559,13716.620226,406.161823,1000,1.000
20000,21000,11715.883840,15059.876594,419.038789,1000,1.000
21000,22000,12780.502413,16188.951121,283.341862,600,1.000
